RISK_ID,RISK_IDENTIFIER,PROJECT_ID,PROJECT_NAME,USACE_ORGANIZATION,P2_PROGRAM_CODE,P2_NUMBER,DISTRICT_CODE,RISK_NAME,RISKCATEGORY,RISKCATEGORYID,RISK_STATEMENT,PROB_OCCURRENCE,LIKELIHOOD,LIKELIHOOD_DESC,PROB_OCCURRENCE_EVIDENCE,OCCURRENCECONFIDENCEID,RISKOWNERDISCIPLINEID,DISCIPLINE,DISCIPLINE_ACRONYM,RISKMANAGERID,RISK_MANAGER,PERFORMANCEIMPACTTYPEID,PERFORMANCEIMPACT,PERFORMANCEIMPACT_DESC,PERFORMANCEIMPACT_IMPCT,PERFORMANCE_IMPACT_DESC,PERFORMANCEIMPACT_RISK_RANKING,PERFORMANCE_RANK_DESC,COST_IMPACT_LOWEST,COST_IMPACT_MOSTLIKELY,COST_IMPACT_HIGHEST,COST_IMPACT_EVIDENCE,COST_RISK_RANKING,COST_RANK_DESC,SCHEDULE_IMPACT_LOWEST,SCHEDULE_IMPACT_MOSTLIKELY,SCHEDULE_IMPACT_HIGHEST,SCHEDULE_IMPACT_EVIDENCE,SCHEDULE_RISK_RANKING,SCHEDULE_RANK_DESC,RISKSTATUSID,ID,RISKSTATUS,PROJECTPHASEID,LIFECYCLEPHASENAME,PROJECTMILESTONEID,MILESTONE,EDITDATE,LOCKSTATUS,USER_ID,ENTERED_BY_USER,COST_IMPACT_DISTTYPE,COST_IMPACT_DISTDESC,SCHEDULE_IMPACT_DISTTYPE,SCHEDULE_IMPACT_DISTDESC,NO_PERFORMANCE_IMPACT,NO_PERFORMANCE_IMPACT_TEXT,NO_COST_IMPACT,NO_COST_IMPACT_TEXT,NO_SCHEDULE_IMPACT,NO_SCHEDULE_IMPACT_TEXT
1,PLP-1,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,Cultural Resources,Site Conditions,6,"Consultation with THPO and SHPO indicates high probability of sites containing cultural resources within project footprint. Recent surveys identified two new sites within Paradise Run. Further phase 1 surveys in PED may identify additional NRHP eligible sites. If a NRHP eligible site is found within the project footprint, the footprint would need to be adjusted or the site would need to be mitigated. The consequence is the additional labor of a recommended plan re-design or a changed project footprint, potentially resulting in a loss of storage and reduced project benefits. If National Register of Historic Places eligible sites are encountered and cannot be avoided or effects cannot be minimized, mitigation costs may apply. If a site is encountered and not avoided, the project could further loose support from the tribes. This could result PED schedule delays causing and increase cost.",4,Very Likely,Very Likely (70% to 90%),"Based on cultural resources surveys and consultation, there are likely to be NRHP eligible sites within the project footprint.",,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,6,Compliance,Although there is a possibility of cost increase and/or schedule delay it is not expected that the discovery of unknown cultural resources would impact the performance of the project.,5,Minor Problem,2,Low,40000,100000,1000000,"Comparison to similar projects: Another CERP project, the C-23 reservoir, is currently re-designing the reservoir due to unanticipated cultural resources discoveries. Broward County WPA spent millions of dollars redesigning the footprint and create ring levees to avoid burial sites. Impacts to cultural sites is a major concern of the Seminole Tribe of Florida as indicated in numerous letters to USACE.",2,Low,30,0,60,"If unknown cultural resources are discovered, study delays and cost increase to be expected.",2,Low,1,1,Active,5,Pre-Construction Engineering and Design (PED),7,Survey and Geotech Characterization,2-Aug-23,0,9416,Jessica Smith,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
2,PLP-2,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,Real Estate Cost and Availability: Uncertainty,Resource Availability,5,"Recommended plan requires acquisition of large tracts of land within the project area. There is significant uncertainty regarding whether the required land will be developed prior to project implementation, how many willing sellers will there be, and how the estimated costs will change. These uncertainties may have significant impacts on projected project cost. ",3,Likely,Likely (50% to 70%),Prior project experience.,,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,8,Agency Strategy,"As a result of the removal of the WAF and 25-colocated ASRs from the Recommended Plan, areas of land to be acquired was reduced. However, risk is still considered medium. ",5,Minor Problem,2,Low,0,0,1000000,Potential for re-design (increases cost) in addition to rising prices of RE in the area.,2,Low,0,0,120,Potential for re-design (schedule delay) to be required to balance rising cost. ,2,Low,1,1,Active,5,Pre-Construction Engineering and Design (PED),11,Complete Real Estate Acquisition,2-Aug-23,0,9416,Jessica Smith,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
3,PLP-3,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,Critical 3x3x3 Exception Request,Agency Policy and Process,7,Delays in the approval of an additional 3x3x3 exception request for the project will lead to missing authorization of the study in time for WRDA 2024 appropriations.,2,Unlikely,Unlikely (30% to 50%),"3x3x3 Exception Requests often take a long time to approve. Additional budget/funds needed more quickly than under normal coordination times. However, the Team has been directed to meet WRDA 2024, therefore it is expected exception will be received in a timely manner. ",,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,8,Agency Strategy,"If additional funding is not available, study team will be forced to stop, resulting in delays in the schedule. Any stop of work increases the risk that the Chief's Report will not be ready for signature by 31 May 2024.
",10,,2,Low,0,0,100000,,2,Low,0,0,180,"If additional funding is not available, study team will be forced to stop, resulting in delays in the schedule. Any stop of work increases the risk that the Chief's Report will not be ready for signature by 31 May 2024.
",2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,27-Jul-23,0,9416,Jessica Smith,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
4,PLP-4,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,Potential to Exceed 3x3x3 Exception Request,Agency Policy and Process,7,"The possibility of a study cost increase beyond ongoing 3x3x3 exception budget request of $1.06M would require additional funding to complete Chief's Report (i.e., a subsequent 3x3x3 exception).",2,Unlikely,Unlikely (30% to 50%),"3x3x3 Exception Requests often take a long time to approve. Additional budget/funds needed more quickly than normal coordination times.
",,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,8,Agency Strategy,"If additional funding is not available, study team will be forced to stop, resulting in delays in the schedule. Any stop of work increases the risk that the Chief's Report will not be ready for signature by 31 May 2024.
",10,,2,Low,0,0,100000,,2,Low,0,0,180,"If additional funding is not available, study team will be forced to stop, resulting in delays in the schedule. Any stop of work increases the risk that the Chief's Report will not be ready for signature by 31 May 2024.",2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,2-Aug-23,0,9416,Jessica Smith,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
5,PLP-5,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,Time to Complete Multitude of Complex Comment Responses,Communications,2,Possible study cost increase and schedule delays due to additional coordination needed to close comments.,3,Likely,Likely (50% to 70%),The complexity of this study is due to attempts to incorporate novel scientific methods and in doing so many comments have been received from the public requiring additional attention than in more typical studies. ,,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,7,Agency Reputational,"There is an obligation to engage with the public and give thorough responses to their comments. Although there are many/complex comments, it is not expected that the performance of the project will be compromised. ",5,Minor Problem,2,Low,5000,0,20000,Multiple and/or complex comments received during reviews may require additional time and attention possibly increasing cost. ,2,Low,0,0,14,Multiple and/or complex comments received during reviews may require additional time and attention possibly delaying schedule.,2,Low,1,1,Active,4,Planning,3,Tentatively Selected Plan,27-Jul-23,0,9416,Jessica Smith,306,Uniform Distribution,306,Uniform Distribution,0,No Performance Impact,0,No Cost Impact,0,No Schedule Impact
6,PLP-6,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,Recommended Plan Opposed by STOF,"Stakeholder, Sponsor or Partners",9,"According to numerous letters from the Seminole Tribe of Florida (STOF), including the most recent on 30 October 2020 on the Chief's Report, the STOF objects to the recommended plan due to a) flooding/seepage impacts; b) cultural resources impacts; c) water rights impacts; d) displacement of T&E species to Brighton Reservation; e) recovered water from ASR systems; f) impacts to future expansion plans; g) environmental justice concerns.",4,Very Likely,Very Likely (70% to 90%),High likelihood as documented in numerous letters. ,,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,8,Agency Strategy,"Continued office of council engagement could delay the project, thus delaying benefits to Lake Okeechobee, estuary ecosystems, and wetlands.
",5,Minor Problem,2,Low,0,0,0,,0,No Risk,0,0,0,,0,No Risk,7,7,Inactive - Decision Made,4,Planning,1,Project Initiation,31-Jul-23,0,9416,Jessica Smith,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
7,PLP-7,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,ASR uncertainties,Info and Data Analysis,1,"ASR uncertainties include a) Potential for aquifer hydrologic characteristics unsuitable for ASR; b) uncertainties identified by the National Academy of Sciences. Potential increase in cost included in contingency.
",1,Very Unlikely,Very Unlikely (5% to 30%),"Based on extensive testing of ASR implementability and current/future analysis such as the Science Plan and the Adaptive Management and Monitoring Plan to reduce ASR uncertainties, the LOWRP team is confident in the ASR implementation strategy.",,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,2,Environmental,"Performance impacts include a) less efficient water retrieval than what we are currently assuming, causing a reduction in project benefits; b) possible change of location of some ASR clusters; c) stakeholder concerns regarding ASR uncertainties.
",10,,2,Low,0,0,0,,0,No Risk,0,0,0,,0,No Risk,7,7,Inactive - Decision Made,4,Planning,1,Project Initiation,31-Jul-23,0,9416,Jessica Smith,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
8,PLP-8,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,T&E Specifies Habitat Compromised ,Site Conditions,6,"There is very limited data for T&E species in the project area. There are some known caracara territories within WAF footprints, but limited information about the presence of indigo snakes and bonneted bats. Surveys need to be done to confirm presence, but most of the project area is located on private lands and not easily accessible without landowner permission. Risk is that surveys during PED discover more T&E species than originally anticipated leading to schedule and potential funding consequences.",3,Likely,Likely (50% to 70%),Unknown because site has not been surveyed. Assumption made based on consultation with resource agencies as well as review of the study area.,,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,2,Environmental,"Performance Impacts could include a) project delay due to unforeseen schedule/cost consequences necessary for additional monitoring (however, cost would likely be covered by project contingency).",5,Minor Problem,2,Low,0,0,0,,0,No Risk,0,0,0,,0,No Risk,7,7,Inactive - Decision Made,4,Planning,1,Project Initiation,31-Jul-23,0,9416,Jessica Smith,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
9,PLP-9,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,Potential of Bioclogging the Aquafer,Agency Policy and Process,7,"Recharge of nutrient-rich treated surface water can stimulate naturally occurring microbes in the aquifer, increasing microbe biomass to form biofilms in the UFA and APPZ. If biofilm formation is extensive, bioclogging could reduce permeability in the UFA, and to a lesser extent the APPZ.
",1,Very Unlikely,Very Unlikely (5% to 30%),"Biofilm formation was observed in wells during CERP pilot ASR system operations, but bioclogging and lower permeability (as increased wellhead pressure measurements) did not occur. Proposed pre-treatment processes can remove total phosphorus compounds from recharge water, which will diminish the potential for bioclogging.",,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,5,Other,,5,Minor Problem,0,No Risk,0,0,0,,0,No Risk,0,0,0,,0,No Risk,7,7,Inactive - Decision Made,5,Pre-Construction Engineering and Design (PED),7,Survey and Geotech Characterization,31-Jul-23,0,9416,Jessica Smith,299,Point Distribution,299,Point Distribution,1,Performance Impacts Anticipated,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
10,PLP-10,1241,Lake Okeechobee Watershed,Jacksonville District(SAJ),,114447,SAJ,Methyl Mercury may Exceed SDWA Criteria ,Agency Policy and Process,7,"There was a potential for mercury methylation in sulfate-reducing aquifers (UFA and APPZ) due to advance pre-treatment process required to meet SDWA criteria. Risk arose because methyl mercury is toxic and its release into the environment would be a challenge to ASR implementation. The redox environment of the UFA and APPZ is classified as sulfate-reducing, thus, the potential for mercury methylation was a concern.",1,Very Unlikely,Very Unlikely (5% to 30%),This comparison of recharge and recovered water data suggests that mercury methylation does not occur in the UFA. There is no corresponding information about mercury methylation potential in the APPZ.,,13,Planning - Plan Formulation,PLP,9195,Jessica Smith,2,Environmental,"Project Performance Impact included increased cost, delayed schedule, and possible redesign due to the following findings. Total and methyl mercury concentrations were measured through 4 cycle tests at Kissimmee River ASR (USACE and SFWMD, 2013). Total mercury concentrations declined when recharge and recovered water samples are compared. Total mercury concentrations in recharge samples ranged between 0.99 ng/L and 5.62 ng/L (SDWA criterion is 2.0 ng/L). Total mercury in recovered water samples ranged between 0.15 ng/L (the lower detection limit) and 0.68 ng/L. Methyl mercury concentrations also declined in the same samples. Methyl mercury concentrations in recharge samples ranged between 0.024 ng/L and 3.02 ng/L. Methyl mercury in recovered water samples ranged between 0.019 ng/L (the lower detection limit) and 0.054 ng/L.",10,,2,Low,0,0,0,,0,No Risk,0,0,0,,0,No Risk,7,7,Inactive - Decision Made,5,Pre-Construction Engineering and Design (PED),7,Survey and Geotech Characterization,31-Jul-23,0,9416,Jessica Smith,299,Point Distribution,299,Point Distribution,0,No Performance Impact,1,Cost Impacts Anticipated,1,Schedule Impacts Anticipated
