PROJECT_ID,RISK_ID,RISK_TREATMENT_ID,RISKOWNERDISCIPLINEID,RISKTREATMENTTYPEID,PROPOSED_RISK_TREATMENT,COST_IMPACT_RISK_TREATMENT,SCHEDULE_IMPACT_RISK_TREATMENT,RECOMMENDED_BY_PDT,IMPLEMENTED,LOCKSTATUS,EDITDATE
3572,4,1,4,2,The risk can be mitigated working with ERDC prior to undergoing detailed project modeling to refine the CHS Model specific to the Boston Study Need.,100000,0,1,1,0,23-Mar-23
3691,9,1,16,2,"The team will coordinate with appropriate partners and internal personnel (PCX) to ensure project scope remains limited and account for effects, if any, on local endangered species to avoid any additional changes further in the process. ",0,0,0,0,0,3-Apr-23
3572,16,1,12,1,"The team is engaging the Risk Cadre, and Life Safety SME across the Enterprise to identify the best strategy for the Study's life safety analysis.  We've engaged Mike Boiardi, Susanne Byrd, and Jesse Morrill-Winters; our strategy will be vertically aligned and integrated into the scop and schedule. Costs are related to funding Ms. Byrd for her participation.",25000,0,1,1,0,1-Mar-23
3572,7,1,16,1,"The team is already scoping and evaluating needs to get to a PA during the study phase.  The current scope avoids invasive in-water archaeological surveys; however, there are is funding built into the schedule for some survey work.",300000,0,1,1,0,30-Jan-23
3572,8,1,18,4,This is a construction risk that will not be realized until post-authorization in the PED phase.  Further in design a final REP will be developed for RE Acquisition.,0,0,1,1,0,30-Jan-23
3544,7,1,11,2,test,4000000,800,1,1,0,31-Jan-23
3544,7,2,11,2,afeaf,50000000,50,0,0,0,31-Jan-23
3069,9,1,16,1,"Conduct capacity analysis and least cost analysis early to understand highest likelihood for placement options, to help narrow down placement under NEPA",0,0,1,1,0,18-May-23
3572,4,2,4,5,"After the refinement, and existing/FWOP modeling is complete, schedule an IPR with the Horizontal and Vertical Team to ensure alignment on FWOP.",0,0,1,1,0,23-Mar-23
3069,10,1,13,5,"Team will work to prepare policy exception and submit in late January 2022 / early February 2022 to ensure adequate time to understand if additional funding can be obtained. 

22-APR-22: Briefings were held with the vertical team  and wide support was documented for the additional study funds. Briefing to GEN Graham scheduled for 2-MAY-20222",0,0,1,1,0,18-May-23
3631,2,1,1,3,Withhold 20% - 30% from each payment invoice. Reducing withhold percentage depending on KTR's performance as project progresses.  Closely monitor construction with Quality Assurance personnel and Project Engineer.,34000000,1,1,1,0,26-Feb-23
3572,15,1,12,1,"The team has a member from the District Risk Cadre on the PDT to participate in the formulation process. It increases the labor requirements on the study, but does not increase study schedule.",50000,0,1,1,0,1-Mar-23
3574,1,1,3,2,Perform enough borings to capture magnitude of underseepage berms and relief wells during feasibility.,150000,180,1,0,0,11-Apr-23
3572,18,1,12,2,"Identifying the risk in feasibility and identifying the stakeholders and utility owners will mitigate the risk.  Additionally, involving the correct stakeholders will ensure the appropriate level of contingency and risk is included in the cost analysis which feeds the total project cost presented to Congress for authorization.",0,0,1,1,0,1-Mar-23
3544,14,1,15,5,avce,0,5,1,0,0,17-Apr-23
3654,1,1,13,4,"We accept this risk and realize that if we realize this risk, we will miss a budget cycle and slip the schedule by one year.",0,0,1,1,0,13-Mar-23
3654,2,1,16,4,Accept the risk.,0,0,1,1,0,13-Mar-23
3654,3,1,17,4,The PDT will accept the risk. ,0,0,1,1,0,13-Mar-23
