PROJECT_ID,PROJECT_NAME,P2_NUMBER,CWIS,CAP,USACE_ORGANIZATION,DISTRICT_CODE,PROGRAMTYPEID,PROGRAMTYPENAME,PROGRAMTYPECODE,PRIMARYMISSIONID,PRIMARYMISSION,STUDYTYPEID,PROJECT_LATITUDE,PROJECT_LONGITUDE,LIFECYCLEPHASEID,LIFECYCLEPHASENAME,LIFECYCLEPHASEBUDGET,LIFECYCLESTARTDATE,LIFECYCLEENDDATE,EDITDATE,ORG_ORDER,PROG_TYPE_ORDER,PRIM_MISSION_ORDER
3511,"C&SF:Flood Resiliency (Section 216) Study, FL",488589,,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,1,Inland Flood Risk Management,4,26.68726,-80.671506,4,Planning,0,9/21/2022,9/22/2025,3/27/2023 12:30 PM,27,1,1
3574,Lower Missouri River Jefferson City L-142,496630,,no,Kansas City District(NWK),NWK,1,Civil Works,cw,1,Inland Flood Risk Management,1,38.60014,-92.16651,4,Planning,3000000,11/28/2022,1/30/2026,1/31/2023,19,1,1
3531,Lower Missouri Brunswick L-246,496631,,no,Kansas City District(NWK),NWK,1,Civil Works,cw,1,Inland Flood Risk Management,1,39.423358,-93.130478,4,Planning,3000000,9/29/2022,12/24/2025,1/31/2023,19,1,1
3711,"Hartford and East Hartford, CT Section 216 Levee Rehabilitation Study",465097,,no,New England District(NAE),NAE,1,Civil Works,cw,1,Inland Flood Risk Management,1,41.76996,-72.66272,4,Planning,3000000,1/3/2023,1/2/2026,3/24/2023,15,1,1
3430,LSJ Lathrop Manteca Feasibility Study,503951,,no,Sacramento District(SPK),SPK,1,Civil Works,cw,1,Inland Flood Risk Management,1,37.808341,-121.32512,4,Planning,7640000,9/30/2022,12/18/2026,3/31/2023,32,1,1
2126,Amite River and Tributaries - East of the MS River Analysis,464542,,no,New Orleans District(MVN),MVN,1,Civil Works,cw,1,Inland Flood Risk Management,,30.343112,-90.945627,4,Planning,0,12/1/2022,2/1/2023,4/28/2023,10,1,1
3553,"Watertown, SD",504570,,no,Omaha District(NWO),NWO,1,Civil Works,cw,1,Inland Flood Risk Management,1,44.84662,-97.08069,4,Planning,2300000,8/19/2022,9/10/2026,1/25/2023,20,1,1
3832,496689,496689,496689,no,Mobile District(SAM),SAM,1,Civil Works,cw,2,Deep Draft Navigation,1,30.34444,-89.07715,4,Planning,0,4/18/2023,5/16/2026,5/2/2023,28,1,2
3851,Savannah Harbor,112985,,no,Savannah District(SAS),SAS,1,Civil Works,cw,2,Deep Draft Navigation,,32.0832,-81.08604,7,Operations and Maintenance,3000000,,,5/8/2023,29,1,2
3069,Tampa Harbor Navigation Improvement Study,499774,,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,2,Deep Draft Navigation,4,26.781169,-82.103568,4,Planning,4500000,8/18/2021,8/16/2024,5/15/2023,27,1,2
2866,Oakland Harbor Turning Basins Widening Study,476976,,yes,San Francisco District(SPN),SPN,1,Civil Works,cw,2,Deep Draft Navigation,,37.802819,-122.333611,1,Feasibility,,,,1/19/2023,34,1,2
3130,"Akutan Harbor Navigational Improvements, AK",495160,,no,Alaska District(POA),POA,1,Civil Works,cw,3,Small Boat Harbors,1,54.141653,-165.629547,4,Planning,200000,7/19/2021,7/23/2024,3/13/2023,24,1,3
3811,Hyder Harbor Navigational Improvements,484472,,yes,Alaska District(POA),POA,1,Civil Works,cw,3,Small Boat Harbors,2,55.90487,-130.01169,1,Feasibility,1420000,9/19/2022,7/3/2024,4/26/2023,24,1,3
3652,DE Inland Bay/Bay Coast,402963,,no,Philadelphia District(NAP),NAP,1,Civil Works,cw,4,Coastal Storm Risk Management,1,38.5581,-75.13275,4,Planning,2000000,11/28/2022,11/28/2025,3/7/2023,18,1,4
3611,Surf City Beach Construction PL 116-20,487223,,no,Wilmington District(SAW),SAW,1,Civil Works,cw,4,Coastal Storm Risk Management,10,34.42249,-77.54777,6,Construction,170000000,9/30/2024,3/30/2029,3/30/2023,30,1,4
