OBJECTID,PROGRAM,PROJECT,RISK_NO,RISKCATEGORY,FEATURE,DISCIPLINE,RISK_OPPORTUNITY_EVENT,CONCERNS,PDT_DISC_CONC,PDT_DISC_LIKELI_IMPACT,PDT_DISC_RISK_MANAG_STRATEGY,ACTION_ITEMS,RISK_STRATEGY,COST_LIKELIHOOD,COST_IMPACT,CONDITIONAL_FORMATTING,CONDITIONAL_FORMATTING2,CONDITIONAL_FORMATTING3,COST_RISK,COST_IMPACT_PER_PROJECT,SCHEDULE_LIKELIHOOD,SCHEDULE_IMPACT,SCHEDULE_RISK,SCHEDULE_IMPACT_PER_PROJECT,EFFICACY_IMPACT,EFFICACY_LIKELIHOOD,EFFICACY_RISK,TECHNICAL_POC,POC_REVIEW_DATE,TIMING_OF_DELAY,LESSONS_LEARNED,START_DATE,END_DATE,ACTIVE,TREND,IMPACT,OUTCOME,OWNER,MANAGEMENT_STATUS,FK_TABLE_ID,ENG_LEVEL,LEVEL_DATE,TAGS,LAST_EDITED_DATE
676,NESP,Ecosystem,TR-11,TECHNICAL RISKS,All,Engineering - General ,"If we don't have NRG property for Construction Staging Sites, rock placement","RDB is designated spot for all rock spoils, would double handle or haul away driving cost, staging area may be impacted based on availability of NRG property","don't have RDB, then additional look at permitting, hydraulics, cost of handling, method for control building would need to be altered if not placed on rock fill, utility access to LDB if have to build there, power to the facility, build cross over?","At some point need to begin pursuing LDB option, hydrologic investigations of that LDB site etc. if RDB not available; set a ""go, no go"" date of January 2022 with the assumption HTRW phase 2 samples will have been obtained and analyzed by that date;",Obtain and analyze phase 2 HTRW samples,"Complete Design Charrettes, and preliminary design, and sampling for HTRW",Accept & Mitigate,Likely,Significant,Red,Red,Transparent,High,$24-$56 Million,Likely,Significant,High,9.6-19.2 months,NA,NA,NA,John Behrens,5/9/2022 1:00,Both,NA,NA,NA,No,NA,NA,NA,NA,Open,TR-11,Level 1,7/19/2021 14:32,NA,5/9/2022 13:45
2565,NESP,Ecosystem,L-2,NON-REGULATORY,Administrative,Real Estate,Funding Availability,Costs for project land acquisition could exceed what the state of Illinois is willing to pay for the property.,NA,NA,NA,NA,Accept,Likely,Significant,Red,Red,Green,High,$24-$56 Million,Very Likely,Significant,High,9.6-19.2 months,Negligible,Unlikely,Low,Bob Spencer,5/9/2022 1:00,Prior to Construction,NA,2/17/2022 0:00,9/30/2024 1:00,Yes,Increasing,"Likelyhood unknown at this point in time. However, if SOI and MG don't reach an agreement, then costs increase due to building on LDB and schedule impacts.",NA,Becky Martinez,Open,L-2,Level 1,2/17/2022 0:00,NA,5/9/2022 14:03
2566,NESP,Ecosystem,L-3,NON-REGULATORY,Administrative,Economics,Funding Availability,Costs for project land rights hazardous waste remediation could exceed what the state of Illinois is willing to spend on remediation and/or could take longer than scope of project to complete.,NA,NA,NA,NA,Accept & Mitigate,Likely,Significant,Red,Red,Green,High,$24-$56 Million,Very Likely,Significant,High,9.6-19.2 months,Negligible,Unlikely,Low,Bob Spencer,5/9/2022 1:00,Prior to Construction,NA,2/17/2022 0:00,9/30/2024 1:00,Yes,Increasing,Costs could dictate that it is not feasible to remediate the site which is essentially the risk concern of RE-1 Land Acquisition of the preferred site cannot be acquired.,NA,Becky Martinez,Open,L-3,Level 1,2/17/2022 0:00,NA,5/9/2022 14:04
1620,NESP,Ecosystem,RE-2,REAL ESTATE,Administrative,Real Estate,Land Acquisition,"If required land rights are not provided by a willing seller, condemnation and/or quit take authority could take longer to accomplish than the scope and schedule of this project may allow.",NA,NA,NA,Sponsor continues negotiations,Accept & Mitigate,Unlikely,Negligible,Green,Green,Red,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Significant,Likely,High,Bob Spencer,5/9/2022 1:00,Prior to Construction,NA,5/1/2021 1:00,5/1/2022 1:00,No,NA,NA,NA,NA,Closed,RE-2,Level 1,7/29/2021 1:00,NA,5/9/2022 14:17
965,NESP,Ecosystem,TR-1C,TECHNICAL RISKS,Flushing Lock,Engineering - General ,"Flushing Lock, Filling/Emptying System",Model construction fitting within our timeline,"We'll want enough modeling to have a definitive path forward to complete design, we may be changing operational requirements for dam operation if a flushing lock is incorporated.  If we don't have remote operations of the dam now, does this require a separate process?","We need modeling to complete design of the flushing lock; If we adopt a flushing lock procedure, we will need to mitigate water usage through the lock so we are not passing extra water over the dam.",Have regular communication with ERDC to set milestones and to ensure delivery of the physical model construction and delivery of the results.,Finish R&D; receiving monthly/bi-weekly reports from ERDC,Mitigate & Transfer,Unlikely,Negligible,Green,Green,Transparent,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,NA,NA,NA,Nic Patterson,5/9/2022 1:00,Prior,NA,NA,NA,No,NA,NA,NA,NA,Open,NA,NA,NA,NA,5/9/2022 14:46
994,NESP,Ecosystem,TR-6h,TECHNICAL RISKS,Support Facilities,Engineering - General ,Support Facilities,"Utilities, Footprint, Operations, Location (RDB vs LDB)",Right sizing it for incremental construction; operations resources; foundation system given site may be capped if HTRW is present; future expandability for future technologies; We may not be able to get HTRW information in time to meet 2024 construction schedule; Reason for the schedule risk is due to impacts to construction methods that may be required to construct on the peninsula.,The location could jeopardize overall project costs if we use LDB for construction,ROE to NRG to explore and sample ground; dialog with utility companies;  identify the closest source of power for delivery to site; Engineering Charrette (operations); get more permanent RE for future expansion if needed; creation of utility corridors/duct banks; investigating the possibility to construct on the LDB,"Complete Design Charrettes, and preliminary design, and sampling for HTRW, vet facilities against Romeoville layout",Accept & Mitigate,Likely,Significant,Red,Red,Transparent,High,$24-$56 Million,Very Likely,Significant,High,9.6-19.2 months,NA,NA,NA,John Behrens,5/9/2022 1:00,Both,NA,NA,NA,No,NA,NA,NA,NA,Open,TR-6h,Level 1,7/19/2021 14:32,NA,5/9/2022 14:57
664,NESP,Ecosystem,TR-7,TECHNICAL RISKS,Flushing Lock,Engineering - General ,Flushing Lock Valves,"There are existing utilities/duct banks that run parallel to the lock walls, is there enough space to fit in culvert, avoidance strategy","New 6x6 culvert?.proper space to fit within the existing lock structure?  Additional valve to force water through these valves, sequencing of valves, four valves needed to isolate the ports.",could prevent flushing from being feasible from the large upstream port which could result in less than desired efficiency.,Structures completed analysis and found there is space to construct what is needed,Complete Design Charrettes and preliminary design,Accept & Transfer,Unlikely,Negligible,Green,Green,Transparent,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,NA,NA,NA,Nic Patterson,5/9/2022 1:00,Both,NA,NA,NA,No,NA,NA,NA,NA,Open,TR-7,Level 1,7/19/2021 14:32,NA,5/9/2022 15:08
670,NESP,Ecosystem,TR-9c,TECHNICAL RISKS,Acoustic Fish Deterrent,Engineering - General ,Acoustic Barrier R&D,Noise on barges,Acoustic barrier can potentially resonate in the empty barges due to hollow hulls creating nuisance.,Could interfere with communications between deckhands and captains; empty barges becoming an amplifier of the sound; may lose efficacy of deterrent system if volume levels must be lowered; impacts to public use of the adjacent area,Continued R&D; collect data; evaluate affects on actual navigation vessels at Lock 19;,NA,Accept,Unlikely,Negligible,Green,Green,Green,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Marginal,Unlikely,Low,Christa Woodley,5/9/2022 1:00,Both,NA,1/1/2024 0:00,1/1/2025 0:00,Yes,Stable,Could interfere with communications between deckhands and captains. Empty barges becoming an amplifier of the sound. May lose efficacy of deterrent system if volume levels must be lowered. Impacts to public use of the adjacent area.,NA,Warren Lorentz,Open,TR-9c,Level 1,7/19/2021 14:32,NA,5/9/2022 15:16
673,NESP,Ecosystem,TR-9g,TECHNICAL RISKS,Acoustic Fish Deterrent,Environment,Acoustic Barrier R&D,Interaction with Bubble Curtain,Don't know the effects air bubbles will have on sound,acoustic barrier performance may be diminished by bubble curtain;. Air normally effects sound propagation in water; two technologies combined have not included fish response; operational cost of air compressors at L19 in conjunction with acoustic testing,"Testing at Lock 19 with air bubble curtain on can be done to collect data; look at other sites testing bubble curtains (Barkley, Peoria); look at funding OD for additional air compressor costs at testing sites",NA,Accept & Mitigate,Unlikely,Negligible,Green,Green,Orange,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Marginal,Very Likely,Moderate,Christa Woodley,5/9/2022 1:00,Both,NA,1/1/2023 0:00,1/1/2025 0:00,Yes,Stable,Acoustic barrier performance may be diminished by bubble curtain;. Air normally effects sound propagation in water. Two technologies combined have not included fish response. Review operational cost of air compressors at L19 in conjunction with acoustic testing.,NA,Warren Lorentz,Open,TR-9g,Level 1,7/19/2021 14:32,NA,5/9/2022 15:22
997,NESP,Navigation,TR-9h,TECHNICAL RISKS,Acoustic Fish Deterrent,Environment,Acoustic Barrier R&D,Ambient Noise,Ambient noise of the bridge could interfere with the acoustic deterrent,Bridge sounds overlapping with acoustic deterrent;,ERDC is aware of the risk; Conduct additional sound testing at Brandon Road.,NA,Accept,Unlikely,Negligible,Green,Green,Green,Low,$0-$4 Million,Unlikely,Negligible,Low,0-4.8 months,Negligible,Unlikely,Low,Christa Woodley,5/9/2022 1:00,Both,NA,1/1/2023 0:00,1/1/2025 0:00,Yes,Stable,Possible bridge sounds overlapping with acoustic deterrent.,NA,Warren Lorentz,Open,TR-9h,Level 1,7/19/2021 14:32,NA,5/9/2022 15:23
