"CREATION_DATE","DATE_DECISION_MADE","PROJECT_ID","PROJECT_NAME","USACE_ORGANIZATION","P2_PROGRAM_CODE","P2_NUMBER","'DL-'||D.DECISION_ID","DISTRICT_CODE","DECISION_NAME","DECISION_DESCRIPTION","IMPACTED_RISKS","IMPACTED_PHASE","LIFECYCLEPHASENAME","IMPACTED_MILESTONE","MILESTONE","APPROVED","DECISION_LEVELS","DECISION_LEVEL_DESC","DECISION_NOTES"
"2023-11-28T16:09:58.546Z","2022-11-04T05:00:00.000Z",2126,"Amite River and Tributaries - East of the MS River Analysis","New Orleans District(MVN)","","464542","DL-1","MVN","Additional Resources Approval 2022","Exemption package is approved by Major General Graham, Jr. of Deputy Commanding General for Civil and Emergency Operation in July and then by ASA-CW Mr. Connor. ","2,3",4,"Planning",2,"Alternatives ","Yes","4","Headquarters Leadership","Approved by ASA-CW."
"2023-11-13T15:19:39.433Z","2023-11-13T05:00:00.000Z",3069,"Tampa Harbor Navigation Improvement Study","Jacksonville District(SAJ)","","499774","DL-1","SAJ","BUDM/Placement Analysis","PDT decided to include the following placement sites in the cost estimate: ODMDS, DMMA 3-D, Egmont Key, Hardbottom Creation (offshore and in-bay), and East Bay Port Expansion Site. The following placement sites continued to be included in the GRR/EIS to ensure NEPA coverage for them in the future: Ft. DeSoto Beach Placement, Dredged Hole Restoration, Manatee Boat Ramp Fill Site, Seagrass Resilience Site, Alafia Banks Island Restoration, and MetroPort Port Expansion Site. These additional six sites were not included in the cost estimate due to the potential for a range of costs based on environmental restrictions that may be imposed during water quality permitting. ","2",4,"Planning",4,"Agency Decision","Yes","1","Project Delivery Team",""
"2023-11-13T16:05:53.387Z","2022-01-14T05:00:00.000Z",3069,"Tampa Harbor Navigation Improvement Study","Jacksonville District(SAJ)","","499774","DL-2","SAJ","Scope Decision","Team decided to pursue a $4.5M, 3-year study scope. Request was made through VTAM. ","13,10",4,"Planning",2,"Alternatives ","Yes","4","Headquarters Leadership",""
"2024-02-02T15:01:21.813Z","2023-09-05T04:00:00.000Z",3430,"LSJ Lathrop Manteca Feasibility Study","Sacramento District(SPK)","","503951","DL-3","SPK","Floodplain Management Plan to Technical Appendix","Through scoping at AMM, a Floodplain Management Plan to be completed concurrently with the study was scoped and agreed upon by the vertical team. FRM-PCX concern over USACE creating a cost-shared plan based on the latest wording guidance changed the scope from a Floodplain Management Plan to a Floodplain Management Planning Technical Appendix. The NFS were notified via email with an updated scope of work specific to the floodplain management planning portion of the study.","",4,"Planning",3,"Tentatively Selected Plan","Yes","1,2","","ER 1105-2-103, November 2023, Section 4-7, Flood Risk Management policies - states (2) The non-federal partner will be encouraged to prepare its floodplain management plan concurrently with the feasibility study to ensure compatibility with the decision-making process and use the public involvement process to obtain public input. While costs for the preparation of the plan are the responsibility of the non-federal partner, data collected during the planning process may be used in development of the plan. "
"2024-02-02T15:04:45.336Z","2024-02-02T05:00:00.000Z",3430,"LSJ Lathrop Manteca Feasibility Study","Sacramento District(SPK)","","503951","DL-4","SPK","Van Buskirk is not in scope.","NFS have requested Van Buskirk mitigation site under the LSJR Construction Phase also be included in the Lathrop and Manteca Study. Van Buskirk will not be included in the study for the following reasons: 
1. We cannot stack aquatic ecosystem restoration resources and mitigation for another USACE project. EP 1165-2-502, Ecosystem Restoration Supporting Policy Information, 9b, states: ""feasibility studies may consider joint ecosystem restoration and mitigation banking projects, as long as the Corps’ financial participation in the project is limited to the ecosystem restoration element, as discussed in PGL 46, “Use of Mitigation Banks for U.S. Army Corps of Engineers Civil Works Projects”.""
2. ER 1105-2-103, Policy for Conducting Civil Works Planning Studies, further states “Projects implemented using aquatic ecosystem restoration authorities may not be used as wetland banks or mitigation credit for the non-federal partner or other USACE projects. Aquatic ecosystem restoration projects should not be used to offset mitigation credit for USACE projects.
3. Van Buskirk site is outside of the study area scoped for Lathrop and Manteca during the AMM Phase of the study, as coordinated with NFS participants in workshops in Fall 2022 and several specific AER side huddles since that time. ","",4,"Planning",3,"Tentatively Selected Plan","Pending","1,2","",""
"2024-02-02T15:07:46.975Z","2024-01-16T05:00:00.000Z",3430,"LSJ Lathrop Manteca Feasibility Study","Sacramento District(SPK)","","503951","DL-5","SPK","Floodplain Management Planning Meeting Delayed","Feedback from P&LCR Team Planning Reviewer requests a separate meeting with USACE and NFS to discuss floodplain decisions supporting EO 11988 compliance versus participation in the floodplain management planning advisory group originally scoped and agreed to in September 2023.","1",4,"Planning",3,"Tentatively Selected Plan","Yes","1,2","","A coordination meeting is planned to be held 29 February 24 to be followed in the future by a floodplain management planning meeting with the NFS and local jurisdictions in the study area."
"2023-11-21T16:53:34.510Z","2022-09-29T07:00:00.000Z",3430,"LSJ Lathrop Manteca Feasibility Study","Sacramento District(SPK)","","503951","DL-1","SPK","Policy - Scope of Study Jurisdictional Boundaries","Meeting: Project Initiation
Key Decision: The scope of the study is not limited to the jurisdictional boundaries of Lathrop and Manteca but can include the full area provided by the authority for impacts from the Lower San Joaquin River. Discussion: The FCSA includes Lathrop and Manteca in the title, but the full area of RD-17 will also be included for FRM consideration. The study extent for ER benefits will be determined during scoping, prior to ADM. Risks: There are no associated risks.","",4,"Planning",1,"Project Initiation","Yes","","",""
"2023-11-21T16:50:40.151Z","2022-11-09T08:00:00.000Z",3430,"LSJ Lathrop Manteca Feasibility Study","Sacramento District(SPK)","","503951","DL-2","SPK","Plan Formulation - River Island Not Included","Meeting: Planning Workshop #3
Key Decision: River Island will not be included into the study area. 
Discussion: The team obtained agreement to exclude the River Island area from the study area due to political sensitivity. Additionally, this area is hydraulically separated from the rest of the study area. 
Risks: There are no associated risks.","",4,"Planning",1,"Project Initiation","Yes","","",""
"2024-03-11T12:35:27.839Z","2024-03-11T04:00:00.000Z",3451,"Green Brook GRR","New York District(NAN)","","500105","DL-1","NAN","Backchecked","Backchecked this risk on 11 March 2024.","4",4,"Planning",0,"","Yes","1","Project Delivery Team",""
"2023-11-07T17:33:29.296Z","2023-11-07T05:00:00.000Z",3544,"Test A Project","Alaska District(POA)","000000","000000","DL-2","POA","Test Decision","Test text","5,3",4,"Planning",3,"Tentatively Selected Plan","Yes","4","Headquarters Leadership",""
