"PROJECT_ID","PROJECT_NAME","PROJECT_NAME_1","P2_SUB_IDENTIFIER","RISK_ID","RISK_IDENTIFIER","RISK_TREATMENT_ID","RISK_TREATMENT_IDENTIFIER","RISKOWNERDISCIPLINE","RISKTREATMENTTYPE","PROPOSED_RISK_TREATMENT","COST_IMPACT_RISK_TREATMENT","SCHEDULE_IMPACT_RISK_TREATMENT","RECOMMENDED_BY_PDT","IMPLEMENTED","LOCKSTATUS","EDITDATE"
3775,"TEST2","TEST2","",4,"CNT-4",1,"CNT-4-1","Contracting","Avoidance","rere",444,2,0,0,0,14-DEC-23
3992,"CAP 107 Put-In-Bay","CAP 107 Put-In-Bay","",4,"PLP-4",1,"PLP-4-1","Planning - Plan Formulation","Prevention","Minimalist alternatives were developed to try to identify low cost alternatives that still provide benefit. ROM costs assumed liberal estimates of bedrock extent and based on historic surveys.",0,0,0,1,0,28-SEP-23
3992,"CAP 107 Put-In-Bay","CAP 107 Put-In-Bay","",3,"PLE-3",1,"PLE-3-1","Planning - Economics","Prevention","Active communication and engagement with NFS to fully define potential commercial benefits",0,10,0,0,0,19-JUL-23
3992,"CAP 107 Put-In-Bay","CAP 107 Put-In-Bay","",1,"PRM-1",1,"PRM-1-1","Project Management","Avoidance","Frequent PDT engagement and clear understanding of roles and responsibility to FID milestone",0,30,0,1,0,19-JUL-23
3992,"CAP 107 Put-In-Bay","CAP 107 Put-In-Bay","",1,"PRM-1",2,"PRM-1-2","Project Management","Avoidance","Frequent PDT engagement and clear understanding of roles and responsibility to FID milestone",0,30,0,1,0,19-JUL-23
3992,"CAP 107 Put-In-Bay","CAP 107 Put-In-Bay","",2,"PGM-2",1,"PGM-2-1","Programs Management","Prevention","Minimalist alternative developed to try to identify low cost alternatives that still provide benefit.",0,0,0,0,0,19-JUL-23
4235,"Tow Path Park GLFER - Ecosystem Restoration","Tow Path Park GLFER - Ecosystem Restoration","",1,"PLN-1",1,"PLN-1-1","Planning - Environmental","Prevention","This risk will be mitigated by completing an Archeological survey of the entire study site early in the project.",50000,90,1,1,0,04-OCT-23
4431,"Rock Cut Lower Dam Overhaul","Rock Cut Lower Dam Overhaul","",3,"SAF-3",1,"SAF-3-1","Safety","Transfer/Share","Follow EM-385 guidance for working near water. Calculate project schedule and resourcing as accurately as possible to identify the additional challenges and allow time for thoughtful and careful work. ",0,0,0,0,0,09-JAN-24
4431,"Rock Cut Lower Dam Overhaul","Rock Cut Lower Dam Overhaul","",1,"PRM-1",1,"PRM-1-1","Project Management","Prevention","Watchfulness aimed at early identification of tasks at risk for delay along with clear and consistent communication within the design team. ",0,0,1,0,0,19-DEC-23
4431,"Rock Cut Lower Dam Overhaul","Rock Cut Lower Dam Overhaul","",4,"EPE-4",1,"EPE-4-1","Construction - Project Engineer","Prevention","Consider shoring of existing structure during 35-65% design phase.",0,30,1,1,0,09-JAN-24
4431,"Rock Cut Lower Dam Overhaul","Rock Cut Lower Dam Overhaul","",4,"EPE-4",2,"EPE-4-2","Construction - Project Engineer","Prevention","Include plan to shore existing structure in final plans, specs, and ECIFP.",0,30,0,1,0,09-JAN-24
4155,"Buchanan Co Sec 202 Flood Risk Management","Buchanan Co Sec 202 Flood Risk Management","",4,"PRM-4",1,"PRM-4-1","Project Management","Accept","PDT will continue to elevate issues to LRD leadership to assist with resolving issues encountered.",9600000,60,1,1,0,21-MAR-24
4155,"Buchanan Co Sec 202 Flood Risk Management","Buchanan Co Sec 202 Flood Risk Management","",3,"RLE-3",1,"RLE-3-1","Real Estate","Accept","PDT recommends not revisiting DPR determined eligibility and escalating this issue to LRD Leadership for resolution.",300000,350,1,1,0,21-MAR-24
4155,"Buchanan Co Sec 202 Flood Risk Management","Buchanan Co Sec 202 Flood Risk Management","",2,"EPE-2",1,"EPE-2-1","Construction - Project Engineer","Transfer/Share","USACE has held multiple workshops and attended multiple contractor events to solicit interest in performing this Floodproofing work with little success. We'll need to manage the 1-2 contractors working this program i n the county to ensure success.",1000000,320,1,1,0,21-MAR-24
4171,"Town of West Union Wastewater System Improvements Project","Town of West Union Wastewater System Improvements Project","",5,"PRM-5",1,"PRM-5-1","Project Management","Avoidance","Communicate with sponsor to promote understanding of steps required for a PPA Amendment. Encourage in-scope change.",0,0,0,0,0,18-SEP-23
4171,"Town of West Union Wastewater System Improvements Project","Town of West Union Wastewater System Improvements Project","",6,"PRM-6",1,"PRM-6-1","Project Management","Avoidance","Frequent communication with USACE employees to promote understanding of project's current budget. Possibly reduce Sponsor's reimbursement ",0,0,0,0,0,18-SEP-23
4171,"Town of West Union Wastewater System Improvements Project","Town of West Union Wastewater System Improvements Project","",3,"PRM-3",1,"PRM-3-1","Project Management","Prevention","Early coordination with Sponsor to request necessary information for the US FWS review",0,0,0,0,0,18-SEP-23
4171,"Town of West Union Wastewater System Improvements Project","Town of West Union Wastewater System Improvements Project","",1,"PRM-1",1,"PRM-1-1","Project Management","Prevention","Frequent communication with Sponsor to promote understanding of next steps of the project",0,0,0,0,0,18-SEP-23
4171,"Town of West Union Wastewater System Improvements Project","Town of West Union Wastewater System Improvements Project","",2,"PRM-2",1,"PRM-2-1","Project Management","Prevention","Frequent communication with sponsor to understand Sponsor's time to begin design or construction work",0,0,0,0,0,18-SEP-23
4171,"Town of West Union Wastewater System Improvements Project","Town of West Union Wastewater System Improvements Project","",4,"PRM-4",1,"PRM-4-1","Project Management","Transfer/Share","Frequent communication with sponsor to understand Sponsor's time to source additional funding or required materials",0,0,0,0,0,18-SEP-23
