DISTRICT_ID,DISTRICT_CODE,DISTRICT_NAME,MSC,LIVESTAT,USER_UPDATED,DATE_LAST_UPDATED,EROC,MSC_ID,SME,LIBRARY,APT,ORGANIZATION_NAME,ORGANIZATION_VALUE
1,LRB,Buffalo District,LRD,live,dawn.blanchard,10/21/2010,H5,4,yes,1,1,Buffalo District LRD LRB,LRB#LRD#H5
2,LRC,Chicago District,LRD,live,dawn.blanchard,10/21/2010,H6,4,yes,1,1,Chicago District LRD LRC,LRC#LRD#H6
3,LRE,Detroit District,LRD,live,dawn.blanchard,10/21/2010,H7,4,yes,1,1,Detroit District LRD LRE,LRE#LRD#H7
4,LRH,Huntington District,LRD,live,dawn.blanchard,10/21/2010,H1,4,yes,1,1,Huntington District LRD LRH,LRH#LRD#H1
5,LRL,Louisville District,LRD,live,dawn.blanchard,10/21/2010,H2,4,yes,1,1,Louisville District LRD LRL,LRL#LRD#H2
6,LRN,Nashville District,LRD,live,dawn.blanchard,10/21/2010,H3,4,yes,1,1,Nashville District LRD LRN,LRN#LRD#H3
7,LRP,Pittsburgh District,LRD,live,dawn.blanchard,10/21/2010,H4,4,yes,1,1,Pittsburgh District LRD LRP,LRP#LRD#H4
8,MVK,Vicksburg District,MVD,live,dawn.blanchard,10/21/2010,B4,5,yes,1,1,Vicksburg District MVD MVK,MVK#MVD#B4
9,MVM,Memphis District,MVD,live,dawn.blanchard,10/21/2010,B1,5,yes,1,1,Memphis District MVD MVM,MVM#MVD#B1
10,MVN,New Orleans District,MVD,live,dawn.blanchard,10/21/2010,B2,5,yes,1,1,New Orleans District MVD MVN,MVN#MVD#B2
11,MVP,St. Paul District,MVD,live,dawn.blanchard,10/21/2010,B6,5,yes,1,1,St. Paul District MVD MVP,MVP#MVD#B6
12,MVR,Rock Island District,MVD,live,dawn.blanchard,10/21/2010,B5,5,yes,1,1,Rock Island District MVD MVR,MVR#MVD#B5
13,MVS,St. Louis District,MVD,live,dawn.blanchard,10/21/2010,B3,5,yes,1,1,St. Louis District MVD MVS,MVS#MVD#B3
14,NAB,Baltimore District,NAD,live,dawn.blanchard,10/21/2010,E1,6,yes,1,1,Baltimore District NAD NAB,NAB#NAD#E1
15,NAE,New England District,NAD,live,dawn.blanchard,10/21/2010,E6,6,yes,1,1,New England District NAD NAE,NAE#NAD#E6
