ID,USACEORGANIZATION,DISTRICT_CODE,ORDERBY
1,Buffalo District(LRB),LRB,1
2,Chicago District(LRC),LRC,2
3,Detroit District(LRE),LRE,3
4,Huntington District(LRH),LRH,4
5,Louisville District(LRL),LRL,5
6,Nashville District(LRN),LRN,6
7,Pittsburgh District(LRP),LRP,7
8,Vicksburg District(MVK),MVK,8
9,Memphis District(MVM),MVM,9
10,New Orleans District(MVN),MVN,10
11,St. Paul District(MVP),MVP,11
12,Rock Island District(MVR),MVR,12
13,St. Louis District(MVS),MVS,13
14,Baltimore District(NAB),NAB,14
15,New England District(NAE),NAE,15
16,New York District(NAN),NAN,16
17,Norfolk District(NAO),NAO,17
18,Philadelphia District(NAP),NAP,18
19,Kansas City District(NWK),NWK,19
20,Omaha District(NWO),NWO,20
21,Portland District(NWP),NWP,21
22,Seattle District(NWS),NWS,22
23,Walla Walla District(NWW),NWW,23
24,Alaska District(POA),POA,24
25,Honolulu District(POH),POH,25
26,Charleston District(SAC),SAC,26
27,Jacksonville District(SAJ),SAJ,27
28,Mobile District(SAM),SAM,28
29,Savannah District(SAS),SAS,29
30,Wilmington District(SAW),SAW,30
31,Albuquerque District(SPA),SPA,31
32,Sacramento District(SPK),SPK,32
33,Los Angeles District(SPL),SPL,33
34,San Francisco District(SPN),SPN,34
35,Ft. Worth District(SWF),SWF,35
36,Galveston District(SWG),SWG,36
37,Little Rock District(SWL),SWL,37
38,Tulsa District(SWT),SWT,38
43,Europe District(NAU),NAU,43
44,Far East District(POF),POF,44
45,Japan Engineer District(POJ),POJ,45
52,Great Lakes & Ohio River Division(LRD),LRD,52
53,Mississippi Valley Division(MVD),MVD,53
54,North Atlantic Division(NAD),NAD,54
55,Northwestern Division(NWD),NWD,55
56,Pacific Ocean Division(POD),POD,56
57,South Atlantic Division(SAD),SAD,57
58,South Pacific Division(SPD),SPD,58
59,Southwestern Division(SWD),SWD,59
121,Caribbean Engineer District(SAA),SAA,121
