PROJECT_ID,PROJECT_NAME,P2_NUMBER,P2_SUB_IDENTIFIER,P2_PROGRAM_CODE,CAP,USACE_ORGANIZATION,DISTRICT_CODE,PROGRAMTYPEID,PROGRAMTYPENAME,PROGRAMTYPECODE,PRIMARYMISSIONID,PRIMARYMISSION,STUDYTYPEID,STUDYTYPENAME,PROJECT_LATITUDE,PROJECT_LONGITUDE,LIFECYCLEPHASEID,LIFECYCLEPHASENAME,LIFECYCLEPHASEBUDGET,LIFECYCLESTARTDATE,LIFECYCLEENDDATE,EDITDATE,ORG_ORDER,PROG_TYPE_ORDER,PRIM_MISSION_ORDER
115,Ala Wai Canal GRR,498213,NA,NA,NA,Pittsburgh District(LRP),LRP,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,21.285691999999997,-157.821111,NA,NA,NA,NA,NA,8/23/2021 10:12 AM,7,1,1
147,Coastal Texas,145745,NA,NA,NA,Galveston District(SWG),SWG,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,28.458651999999997,-96.29627,NA,NA,NA,NA,NA,1/17/2023 5:11 PM,36,1,4
160,EAST SAN PEDRO BAY,328345,NA,NA,NA,Los Angeles District(SPL),SPL,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,NA,NA,33.738462999999996,-118.159296,NA,NA,NA,NA,NA,1/17/2023 5:12 PM,33,1,6
235,"PECKMAN RIVER BASIN, NJ",109001,NA,013759,no,New York District(NAN),NAN,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,NA,NA,40.885169,-74.217917,5,Pre-Construction Engineering and Design (PED),6800000,2023-01-20T05:00:00Z,2026-03-25T05:00:00Z,1/19/2024,16,1,6
502,LOWER CACHE CREEK,105216,NA,NA,NA,Sacramento District(SPK),SPK,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,38.761635,-122.109453,NA,NA,NA,NA,NA,1/17/2023 5:11 PM,32,1,1
1241,Lake Okeechobee Watershed,114447,NA,NA,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,NA,NA,27.165913,-80.859375,4,Planning,9472000,2016-07-01T05:00:00Z,2022-07-24T05:00:00Z,8/3/2023,27,1,6
1584,"Arcadia, WI Section 205 Project",403427,NA,NA,NA,St. Paul District(MVP),MVP,1,Civil Works,cw,1,Inland Flood Risk Management,2,CAP Decision Document,44.2485,-91.4935,NA,NA,NA,NA,NA,1/11/2022 1:37 PM,11,1,1
1664,C&SF: CERP: Western Everglades Restoration Project,456218,NA,NA,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,1,General Investigations Feasibility,26.159768999999997,-80.892392,4,Planning,7900000,2016-08-16T05:00:00Z,2023-12-18T05:00:00Z,7/18/2023 9:24 AM,27,1,6
1725,"New York, New Jersey Harbor and Tributaries Study",404586,NA,NA,no,New York District(NAN),NAN,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,40.579885999999995,-74.028969,4,Planning,10000000,2016-09-01T05:00:00Z,2025-08-01T05:00:00Z,7/23/2024 1:26 PM,16,1,4
1824,Nassau County Back Bays Feasibility Study,404587,NA,NA,NA,Philadelphia District(NAP),NAP,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,40.633889,73.561944,NA,NA,NA,NA,NA,1/12/2024 6:36 PM,18,1,4
1844,"Fairfield & New Haven Counties, CT Flooding",395890,NA,NA,yes,New England District(NAE),NAE,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,41.208203,-73.071287,2,CAP Design and Construction,160249000,2023-10-02T05:00:00Z,2026-10-02T05:00:00Z,10/23/2023,15,1,4
2065,MIAMI HARBOR IMPROVEMENTS,472379,NA,NA,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,2,Deep Draft Navigation,NA,NA,25.762553,-80.13221,4,Planning,7480000,2018-09-04T05:00:00Z,2026-06-26T05:00:00Z,8/31/2023,27,1,2
2105,"Tacoma Harbor, WA",465354,NA,NA,NA,Seattle District(NWS),NWS,1,Civil Works,cw,2,Deep Draft Navigation,NA,NA,47.273306,-122.425015,NA,NA,NA,NA,NA,1/17/2023 5:11 PM,22,1,2
2125,Pinellas County CSRM FS,474971,NA,NA,NA,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,4,Coastal Storm Risk Management,NA,NA,27.937785,-82.725653,NA,NA,NA,NA,NA,7/28/2021 1:27 PM,27,1,4
2126,Amite River and Tributaries - East of the MS River Analysis,464542,NA,NA,no,New Orleans District(MVN),MVN,1,Civil Works,cw,1,Inland Flood Risk Management,NA,NA,30.343112,-90.945627,4,Planning,4910000,2018-10-03T05:00:00Z,2025-02-20T05:00:00Z,9/18/2024,10,1,1
