PROJECT_ID,PROJECT_NAME,P2_SUB_IDENTIFIER,RISK_ID,RISK_IDENTIFIER,RISK_TREATMENT_ID,RISK_TREATMENT_IDENTIFIER,RISKOWNERDISCIPLINE,RISKTREATMENTTYPE,PROPOSED_RISK_TREATMENT,COST_IMPACT_RISK_TREATMENT,SCHEDULE_IMPACT_RISK_TREATMENT,RECOMMENDED_BY_PDT,IMPLEMENTED,LOCKSTATUS,EDITDATE
3572,City of Boston Coastal Storm Risk,NA,8,RLE-8,1,RLE-8-1,Real Estate,Transfer/Share,This is a construction risk that will not be realized until post-authorization in the PED phase.  Further in design a final REP will be developed for RE Acquisition.,0,0,1,1,0,1/30/2023 5:05 PM
3691,"San Diego County Shoreline - Oceanside, CA, Mitigation Study",NA,9,PLN-9,1,PLN-9-1,Planning - Environmental,Prevention,"The team will coordinate with appropriate partners and internal personnel (PCX) to ensure project scope remains limited and account for effects, if any, on local endangered species to avoid any additional changes further in the process. ",0,0,0,0,0,4/3/2023 5:14 PM
3572,City of Boston Coastal Storm Risk,NA,17,PLP-17,1,PLP-17-1,Planning - Plan Formulation,Prevention,Other studies in CENAE have included nonstructural measures in CSRM projects.  We are working closely with the Real Estate Specialist and will set up discussions to understand LERRS impacts with the nonstructural measures we've identified. There is time for the next year while the team develops the FWOP and Existing condition. ,0,0,1,1,0,3/1/2023 8:04 PM
3572,City of Boston Coastal Storm Risk,NA,31,PLN-31,1,PLN-31-1,Planning - Environmental,Prevention, no,0,0,0,0,0,3/19/2024 6:40 PM
4074,Sabine to Galveston (S2G) - Orange ? PED,NA,22,PLN-22,1,PLN-22-1,Planning - Environmental,Prevention,Phase II Environmental Site Assessments are being conducted to inform presence of contamination in suspected sites. ,0,0,0,1,0,4/26/2024 7:54 PM
3544,Test A Project,NA,7,OPS-7,1,OPS-7-1,Operations,Prevention,test,4000000,800,1,1,0,1/31/2023 7:41 PM
3544,Test A Project,NA,7,OPS-7,2,OPS-7-2,Operations,Prevention,afeaf,50000000,50,0,0,0,1/31/2023 7:41 PM
3069,Tampa Harbor Navigation Improvement Study,NA,9,PLN-9,1,PLN-9-1,Planning - Environmental,Avoidance,"Conduct capacity analysis and least cost analysis early to understand highest likelihood for placement options, to help narrow down placement under NEPA",0,0,1,1,0,5/18/2023 2:52 PM
3572,City of Boston Coastal Storm Risk,NA,26,PLE-26,1,PLE-26-1,Planning - Economics,Avoidance,The team is developing a comprehensive benefit strategy. We are coordinating with the Vertical and Horizontal teams to ensure it is complete and accurate to reduce risk of reformulation post-TSP.  The City of Boston is leading an outreach and involvement effort to ensure EJ Outreach and the community is engaged.,100000,0,1,1,0,4/22/2024 4:15 PM
3069,Tampa Harbor Navigation Improvement Study,NA,10,PLP-10,1,PLP-10-1,Planning - Plan Formulation,Accept,"Team will work to prepare policy exception and submit in late January 2022 / early February 2022 to ensure adequate time to understand if additional funding can be obtained. 

22-APR-22: Briefings were held with the vertical team  and wide support was documented for the additional study funds. Briefing to GEN Graham scheduled for 2-MAY-20222",0,0,1,1,0,5/18/2023 3:05 PM
3631,RumaylanDetention Facility,NA,2,CNT-2,1,CNT-2-1,Contracting,Mitigation,Withhold 20% - 30% from each payment invoice. Reducing withhold percentage depending on KTR's performance as project progresses.  Closely monitor construction with Quality Assurance personnel and Project Engineer.,34000000,1,1,1,0,2/26/2023 10:54 PM
3572,City of Boston Coastal Storm Risk,NA,15,OTH-15,1,OTH-15-1,Other,Avoidance,"The team has a member from the District Risk Cadre on the PDT to participate in the formulation process. It increases the labor requirements on the study, but does not increase study schedule.",50000,0,1,1,0,3/1/2023 7:35 PM
3574,Lower Missouri River Jefferson City L-142,NA,1,EGT-1,1,EGT-1-1,Engineering - Geotechnical,Prevention,Perform enough borings to capture magnitude of underseepage berms and relief wells during feasibility.,150000,180,1,0,0,4/11/2023 3:08 AM
3572,City of Boston Coastal Storm Risk,NA,18,OTH-18,1,OTH-18-1,Other,Prevention,"Identifying the risk in feasibility and identifying the stakeholders and utility owners will mitigate the risk.  Additionally, involving the correct stakeholders will ensure the appropriate level of contingency and risk is included in the cost analysis which feeds the total project cost presented to Congress for authorization.",0,0,1,1,0,3/1/2023 8:17 PM
3544,Test A Project,NA,14,PLE-14,1,PLE-14-1,Planning - Economics,Accept,avce,0,5,1,0,0,4/17/2023 1:44 PM
3654,Keystone Dam ? Wedge (495646),NA,1,PLP-1,1,PLP-1-1,Planning - Plan Formulation,Transfer/Share,"We accept this risk and realize that if we realize this risk, we will miss a budget cycle and slip the schedule by one year.",0,0,1,1,0,3/13/2023 7:50 PM
3654,Keystone Dam ? Wedge (495646),NA,2,PLN-2,1,PLN-2-1,Planning - Environmental,Transfer/Share,Accept the risk.,0,0,1,1,0,3/13/2023 7:57 PM
3654,Keystone Dam ? Wedge (495646),NA,3,PRM-3,1,PRM-3-1,Project Management,Transfer/Share,The PDT will accept the risk. ,0,0,1,1,0,3/13/2023 8:06 PM
3654,Keystone Dam ? Wedge (495646),NA,5,PLP-5,1,PLP-5-1,Planning - Plan Formulation,Prevention,"The PDT will mitigate this risk by providing briefings and read ahead material to key DSOG members to ensure their buy in prior to the DSOG meeting. 

This is not a cost or schedule impact beyond what is already scoped.",0,0,1,1,0,3/13/2023 8:17 PM
3572,City of Boston Coastal Storm Risk,NA,29,EHH-29,1,EHH-29-1,Engineering - Hydrology and Hydraulics,Avoidance,The city agreed with NAE at the October 17th Partnering session to include NAE as an informal consultant and reviewer for design submittals. USACE will be able to review and provide recommended comments on the City's contracts for those projects that will be part of the FWOP. ,0,0,1,1,0,11/28/2023 5:54 PM
3654,Keystone Dam ? Wedge (495646),NA,6,EHH-6,1,EHH-6-1,Engineering - Hydrology and Hydraulics,Transfer/Share,The PDT accepts the risk in order to be policy compliant.,0,0,1,1,0,3/13/2023 8:26 PM
3654,Keystone Dam ? Wedge (495646),NA,4,PRM-4,1,PRM-4-1,Project Management,Transfer/Share,The PDT will accept this risk. ,0,0,1,1,0,3/13/2023 8:11 PM
3677,Capstone,NA,6,EHH-6,1,EHH-6-1,Engineering - Hydrology and Hydraulics,Transfer/Share,Model account a level of uncertainty,80000,80,1,0,0,3/14/2023 2:29 PM
