RISK_ID,RISK_IDENTIFIER,PROJECT_ID,PROJECT_NAME,P2_LOOKUP,RISK_NAME,RISKCATEGORY,RISKCATEGORYID,RISK_STATEMENT,PROB_OCCURRENCE,LIKELIHOOD,LIKELIHOOD_DISC,PROB_OCCURRENCE_EVIDENCE,OCCURRENCECONFIDENCEID,CONFIDENCE,RISKOWNERDISCIPLINEID,DISCIPLINE,DISCIPLINE_ACRONYM,RISKMANAGERID,RISKMANAGER,PERFORMANCEIMPACTTYPEID,PERFORMANCEIMPACTTYPE,PERFORMANCEIMPACT_DESC,PERFORMANCEIMPACT_IMPCT,PERFORMANCEIMPACT_RISK_RANKING,COST_IMPACT_LOWEST,COST_IMPACT_MOSTLIKELY,COST_IMPACT_HIGHEST,COST_IMPACT_EVIDENCE,SCHEDULE_IMPACT_LOWEST,SCHEDULE_IMPACT_MOSTLIKELY,SCHEDULE_IMPACT_HIGHEST,SCHEDULE_IMPACT_EVIDENCE,SCHEDULE_RISK_RANKING,RISKSTATUSID,ID,RISKSTATUS,PROJECTPHASEID,LIFECYCLEPHASENAME,PROJECTMILESTONEID,ID_1,MILESTONE,EDITDATE,LOCKSTATUS,USER_ID,FIRST_NAME,LAST_NAME,COST_IMPACT_DISTTYPE,SCHEDULE_IMPACT_DISTTYPE,NO_PERFORMANCE_IMPACT,NO_COST_IMPACT,NO_SCHEDULE_IMPACT
2,PLP-2,2126,Amite River and Tributaries - East of the MS River Analysis,464542,Exemption Plan risks: Public Opposition & USACE policies.,Agency Policy and Process,7,"Public Risk: -Public opposition to NS only alternative in favor of structural alternative. -NS only alternative implementation is voluntary and has historically very low participation rates for the area for similar programs. USACE Risk: -NED analysis limited to cost update only of Dam and 25YR NS, with limited assessment of acceptability and technical criteria-Limited EJ evaluation that may not address all of EPA's request.-Limited sub-aggregation of NS plan. -Limited Comprehensive benefits assessment. -LPP waiver approval-Since the NS plan is voluntary, will the plan demonstrate that the disadvantage communities/population can be accommodated i.e.. a) since they are likely to be unable to accept that burden for temporary relocation b) If structures are valued less than the cost of elevation, how is USACE accommodating?",3,Likely,Likely (50% to 70%),"-Support comes from the public that represents the owners of approximately 36,000 structures that would receive benefits from the Darlington Dam structure alternative vs. the approximately 300 structures in the footprint of the dam.-NEPA letter submitted on 2/20/20 requesting EJ outreach and survey. -Historically difficult to document inclusivity in implemented nonstructural plans'-Presently the study does not have technical conclusion that Presently the study does not have technical conclusion that the Darlington dam alternative is not feasible.",,,13,Planning - Plan Formulation,PLP,4751,,8,Agency Strategy,"An additional exemption request is currently being prepared to incorporate the time assumption length needed in case of NED waiver.

Can not estimate project performance impact if NFS no longer concurs with a NS only plan due to the public opposition. 
",10,3,0,0,0,Unknown at this time,0,0,0,"Unknown at this time; however, an additional exemption request is currently being prepared that would include the NED waiver time estimate (of 4 months) based on MVD provided assumptions to include. ",1,1,1,Active,4,Planning,4,4,Agency Decision,6/2/2023 7:18 PM,0,4751,Lesley,Prochaska,299,299,0,0,0
1,PLP-1,2307,"Miami-Dade Back Bay Coastal Storm Risk Management Feasibility Study, Miami-Dade County, Florida",476677,Florida Statute - Biscayne Bay Preserve,Legislative or Political,8,"Florida Statute 258.397 Biscayne Bay Preserve - limits filling and dredging within Biscayne Bay.  https://www.flsenate.gov/laws/statutes/2019/258.397
Coordinating agencies include Miami-Dade County Department of Environmental Resources Management and Florida Department of Environmental Protection.",5,Extremely Likely,Extremely Likely (90% to 100%),,,,13,Planning - Plan Formulation,PLP,488,,6,Compliance,This will impact all measures in the Biscayne Bay including the 2021 Recommended Plan,10,4,0,0,0,,0,0,0,Environmental compliance will be impacted without a coordinated path forward.,1,1,1,Active,4,Planning,1,1,Project Initiation,3/17/2023 2:10 PM,0,488,Michelle,Hamor,299,299,0,0,0
2,EHH-2,2307,"Miami-Dade Back Bay Coastal Storm Risk Management Feasibility Study, Miami-Dade County, Florida",476677,Coastal Barriers - Haulover Inlet,Info and Data Analysis,1,"Environmental Compliance requires exact footprint of outer barrier location.  That will be a challenge without modeling several different scenarios to determine the best location.
Bridge Scour analysis is needed, sedimentation analysis is needed, and ADCIRC modeling refinement is needed to understand if out barrier lowers the water levels in the Back Bay.  Cost and time may be a factor.
",4,Very Likely,Very Likely (70% to 90%),It is very likely that complications or non compliance will occur if the Inlet is not modeled.,,,4,Engineering - Hydrology and Hydraulics,EHH,5170,,6,Compliance,"If the ADCIRC ERDC modeling determines that the outer barrier is ineffective, then this may change the focus on where to provide structural measures.",-10,1,0,0,0,cost has not been estimated at this time.  The cost of a sector gate at this inlet could be prohibitive.,0,0,0,"There will be a schedule impact because the ADCIRC analysis has to occur to decided if out barriers are needed.

Timeframe has not been estimated to complete modeling.",1,1,1,Active,4,Planning,2,2,Alternatives ,5/1/2023 6:44 PM,0,5170,Robin,Williams,299,299,0,0,0
2,PLP-2,3069,Tampa Harbor Navigation Improvement Study,499774,BUDM/Placement Analysis ,Info and Data Analysis,1,"There is a wide range of anticipated dredged material volumes early in the study (from 5MCY to well over 20 MCY). The risk is ensuring there is sufficient capacity in identified placement sites to accommodate the volumes both for the initial construction and the 20-year O&M. Current Placement Area opportunities include Egmont (nearshore/beach/island restoration), 2D, 3D, ODMDS, viable dredge holes (4), island creation (for private use, bird habitat creation, and seagrass restoration), permitted Port site, Manatee County boat launch site. Team will conduct least cost analysis. Viable options that are not least cost will be pursued to see if there is a cost sharing partner to pay incremental difference.",3,Likely,Likely (50% to 70%),,,,13,Planning - Plan Formulation,PLP,514,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 3:00 PM,0,4951,Juliana,Matiz,299,299,0,0,0
4,ESD-4,3069,Tampa Harbor Navigation Improvement Study,499774,Subsurface Utilities ,Site Conditions,6,"EN recalls that TECO possibly has a gas line that intersects the proposed project area. EN mentioned that the subsurface utilities did not interfere with the previous plans to Widen Cut-B. To mitigate risk, it is necessary to obtain a map of all subsurface utilities. ",3,Likely,Likely (50% to 70%),EN recalls that TECO possibly has a gas line that intersects the proposed project area. EN mentioned that the subsurface utilities did not interfere with the previous plans to Widen Cut-B. Consequence if subsurface utilities do interfere: delay in study approval and/or increase cost. ,,,6,Engineering - Structural Design,ESD,2963,,5,Other,,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,1,1,Project Initiation,5/17/2023 7:55 PM,0,4951,Juliana,Matiz,299,299,0,0,0
5,PLP-5,3069,Tampa Harbor Navigation Improvement Study,499774,Study Funding Delays,Agency Policy and Process,7,"The PDT's available funding as of 1-JUN will likely only last the PDT through June. When SAJ requested additional funding in May, funding was denied and the MSC/HW indicated additional study funds may not be approved until a decision on the exception request is made",3,Likely,Likely (50% to 70%),Likelihood is solely dependent on leadership/vertical team,,,13,Planning - Plan Formulation,PLP,514,,5,Other,Funding needs must be met for the study to stay on schedule. ,10,3,0,0,0,,0,120,0,"If funding is delayed, the schedule will be delayed. the TSP milestone will not be met",3,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 1:53 PM,0,-99,,,299,299,0,0,0
6,EHH-6,3069,Tampa Harbor Navigation Improvement Study,499774,Widening of Passing Lanes,Site Conditions,6,"Widening for passing lanes would be conducted from the centerline of the channel rather than to one side only. Deepening of the channel would impact hardbottoms (HB) on both sides of the channel; however the difference of deepening impacts compared to the widening impacts to these HB are unknown. There is a risk of greatly increasing HB impacts from widening both sides of the channel over the impacts resulting from deepening alone. 
Additional HB surveys (in situ, qualitative, and quantitative) may be required to assess impacts if widening is determined to cause impacts over deepening alone. Additional mitigation may be required if impacts are greater",3,Likely,Likely (50% to 70%),Hardbottom surveys are ongoing (As of MAY-202X). Impacts will be better understood when these surveys are complete in Fall 202X,,,4,Engineering - Hydrology and Hydraulics,EHH,2963,,5,Other,Mitigation is available through beneficial use of the rock dredged during construction,5,2,0,0,0,"Additional HB surveys to evaluate impacts could be expensive and time-consuming, increasing cost. ",0,0,0,"Additional HB surveys to evaluate impacts could be expensive and time-consuming, delaying the study. ",1,1,1,Active,4,Planning,4,4,Agency Decision,5/18/2023 2:06 PM,0,4614,Katherine,Bailey,299,299,0,0,0
7,PRM-7,3069,Tampa Harbor Navigation Improvement Study,499774,Federal Funding,Agency Policy and Process,7,"There will be a gap in Federal funding streams for the study after the AMM. NFS can accelerate their share of the funding. Three various efforts are in play during the spring (earmark, workplan, infrastructure bill) which could help in getting needed Federal funding.

15-FEB-22: Funding from IIJA was approved in early 2022 to fully fund the Federal portion of the study at $3M. Based on the $4.5M study budget, these federal funds will be sufficient to fund the study through the TSP (Spring 2023)",1,Very Unlikely,Very Unlikely (5% to 30%),"There are several avenues in play, subject to change",,,17,Project Management,PRM,514,,8,Agency Strategy,"Team would need to stop work if all funds exhausted.
1-APR-2022: There is sufficient time to plan ahead to maintain funding streams consistent with the authorized budget. The rating was downgraded from ""major problem"" to ""minor problem"", but is dependent upon receiving a decision to the exception request by 1-JUL to avoid schedule impacts.",5,2,0,0,0,,0,0,0,"There is a risk that if there is a gap in Federal funding for too long, NFS accelerated funds may be exhausted, causing a study delay and risk to 3-year schedule",1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 2:35 PM,0,4614,Katherine,Bailey,299,299,0,0,0
8,PLC-8,3069,Tampa Harbor Navigation Improvement Study,499774,Cultural Resources Surveys,Info and Data Analysis,1,"The team is currently not pursuing a Programmatic Agreement (PA), but to reduce risk will conduct needed surveys for placement areas during feasibility. Channel is generally already surveyed but there could be some additional surveys",2,Unlikely,Unlikely (30% to 50%),,,,14,Planning - Cultural Resources,PLC,514,,5,Other,,5,2,0,0,0,"A wide array of placement areas is under consideration. All options may need to be analyzed if some are not screened out early, and may require additional funding",0,0,0,"A wide array of placement areas is under consideration. All options may need to be analyzed if some are not screened out early, and may require additional time",1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 2:47 PM,0,4614,Katherine,Bailey,299,299,0,0,0
9,PLE-9,3069,Tampa Harbor Navigation Improvement Study,499774,Environmental Surveys & Effects Analysis for Placement,Info and Data Analysis,1,"If placement options are not decided upon with enough time, then must include all in NEPA analysis, including potential surveys, which would take more time, funding, and effort",3,Likely,Likely (50% to 70%),,,,16,Planning - Environmental,PLE,8837,,5,Other,More time and funding needed to include all placement options in NEPA analysis,5,2,0,0,0,,0,0,0,,1,1,1,Active,4,Planning,3,3,Tentatively Selected Plan,5/18/2023 2:53 PM,0,4614,Katherine,Bailey,299,299,0,0,0
