PROJECT_ID,PROJECT_NAME,P2_NUMBER,CWIS,CAP,USACE_ORGANIZATION,DISTRICT_CODE,PROGRAMTYPEID,PROGRAMTYPENAME,PROGRAMTYPECODE,PRIMARYMISSIONID,PRIMARYMISSION,STUDYTYPEID,PROJECT_LATITUDE,PROJECT_LONGITUDE,LIFECYCLEPHASEID,LIFECYCLEPHASENAME,LIFECYCLEPHASEBUDGET,LIFECYCLESTARTDATE,LIFECYCLEENDDATE,EDITDATE,ORG_ORDER,PROG_TYPE_ORDER,PRIM_MISSION_ORDER
115,Ala Wai Canal GRR,498213,,,Pittsburgh District(LRP),LRP,1,Civil Works,cw,1,Inland Flood Risk Management,,21.285692,-157.821111,,,,,,8/23/2021 10:12 AM,7,1,1
147,Coastal Texas,145745,,,Galveston District(SWG),SWG,1,Civil Works,cw,4,Coastal Storm Risk Management,,28.458652,-96.29627,,,,,,1/17/2023 5:11 PM,36,1,4
160,EAST SAN PEDRO BAY,328345,,,Los Angeles District(SPL),SPL,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,,33.738463,-118.159296,,,,,,1/17/2023 5:12 PM,33,1,6
502,LOWER CACHE CREEK,105216,,,Sacramento District(SPK),SPK,1,Civil Works,cw,1,Inland Flood Risk Management,,38.761635,-122.109453,,,,,,1/17/2023 5:11 PM,32,1,1
1241,Lake Okeechobee Watershed Project,114447,,,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,,27.165913,-80.859375,,,,,,9/20/2022 11:49 PM,27,1,6
1584,"Arcadia, WI Section 205 Project",403427,,,St. Paul District(MVP),MVP,1,Civil Works,cw,1,Inland Flood Risk Management,2,44.2485,-91.4935,,,,,,1/11/2022 1:37 PM,11,1,1
1664,C&SF: CERP: Western Everglades Restoration Project,456218,,no,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,1,26.159769,-80.892392,4,Planning,7900000,8/16/2016,12/18/2023,2/3/2023,27,1,6
1725,NY-NJ HATS,404586,,,New York District(NAN),NAN,1,Civil Works,cw,4,Coastal Storm Risk Management,,40.579886,-74.028969,,,,,,9/20/2022 6:17 PM,16,1,4
1824,Nassau County Back Bays Feasibility Study,404587,,,Philadelphia District(NAP),NAP,1,Civil Works,cw,4,Coastal Storm Risk Management,,40.633889,73.561944,,,,,,1/17/2023 5:12 PM,18,1,4
2065,Miami Harbor Navigation Improvements Study,472379,,,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,2,Deep Draft Navigation,,25.762553,-80.13221,,,,,,9/23/2022 8:39 PM,27,1,2
2105,"Tacoma Harbor, WA",465354,,,Seattle District(NWS),NWS,1,Civil Works,cw,2,Deep Draft Navigation,,47.273306,-122.425015,,,,,,1/17/2023 5:11 PM,22,1,2
2125,Pinellas County CSRM FS,474971,,,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,4,Coastal Storm Risk Management,,27.937785,-82.725653,,,,,,7/28/2021 1:27 PM,27,1,4
2126,Amite River and Tributaries - East of the MS River Analysis,464542,,no,New Orleans District(MVN),MVN,1,Civil Works,cw,1,Inland Flood Risk Management,,30.343112,-90.945627,4,Planning,0,12/1/2022,2/1/2023,4/28/2023,10,1,1
2128,"San Juan Metro Area, Puerto Rico CSRM",469423,,,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,4,Coastal Storm Risk Management,,18.53064,-66.116786,,,,,,8/20/2021 1:58 PM,27,1,4
2146,WBV Future Levee Lifts,452003,,,New Orleans District(MVN),MVN,1,Civil Works,cw,4,Coastal Storm Risk Management,,,,,,,,,1/17/2023 5:12 PM,10,1,4
2226,Rahway Tidal,403353,,,New York District(NAN),NAN,1,Civil Works,cw,4,Coastal Storm Risk Management,,40.598888,-74.248846,,,,,,12/20/2022 3:30 PM,16,1,4
2305,Collier CSRM,476674,,,Norfolk District(NAO),NAO,1,Civil Works,cw,4,Coastal Storm Risk Management,,25.939251,-81.715851,,,,,,3/31/2021 7:59 PM,17,1,4
2306,FL Keys CSRM,397427,,,Norfolk District(NAO),NAO,1,Civil Works,cw,4,Coastal Storm Risk Management,,24.819859,-80.821732,,,,,,9/20/2021 3:37 PM,17,1,4
2307,"Miami-Dade Back Bay Coastal Storm Risk Management Feasibility Study, Miami-Dade County, Florida",476677,,no,Norfolk District(NAO),NAO,1,Civil Works,cw,4,Coastal Storm Risk Management,1,25.74449,-80.18136,4,Planning,8500000,10/1/2018,8/31/2027,5/15/2023 1:41 PM,17,1,4
2325,TPP Clear Creek Ecosystem Restoration Study,478609,,,Sacramento District(SPK),SPK,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,,39.711428,-121.745939,,,,,,2/5/2021,32,1,6
2465,SACS,463746,,,Jacksonville District(SAJ),SAJ,1,Civil Works,cw,9,Watershed Studies,,90.5565,-120.564,,,,,,10/7/2021 3:53 PM,27,1,9
2545,Rhode Island Coastline CSRM,404574,,,New England District(NAE),NAE,1,Civil Works,cw,4,Coastal Storm Risk Management,,41.35,71.2,,,,,,9/23/2022 7:27 PM,15,1,4
2566,NoVA Coastal,404563,,,Baltimore District(NAB),NAB,1,Civil Works,cw,4,Coastal Storm Risk Management,,,,,,,,,5/27/2022 3:21 PM,14,1,4
2605,New York New Jersey Harbor Deepening Channel Improvements,472473,,,New York District(NAN),NAN,1,Civil Works,cw,2,Deep Draft Navigation,,40.653242,-74.0808,,,,,,2/1/2022,16,1,2
2645,South San Francisco Bay Shoreline Phase II Study,402882,,,San Francisco District(SPN),SPN,1,Civil Works,cw,4,Coastal Storm Risk Management,,,,,,,,,5/12/2022 4:39 PM,34,1,4
2685,"St. Tammany Parish, Louisiana Feasibility Study",477554,,,New Orleans District(MVN),MVN,1,Civil Works,cw,1,Inland Flood Risk Management,,48.166668,-109.650776,,,,,,7/6/2022 3:11 PM,10,1,1
2785,"UMRR Yorkinut Slough, IL - FWS",472174,472174,yes,St. Louis District(MVS),MVS,1,Civil Works,cw,6,Aquatic Ecosystem Restoration,,38.933,-90.527,1,Feasibility,0,8/1/2022,11/30/2022,4/28/2023,13,1,6
2805,University City,490029,,,St. Louis District(MVS),MVS,1,Civil Works,cw,1,Inland Flood Risk Management,,38.663901,-90.328165,,,,,,8/26/2022 9:21 PM,13,1,1
2826,SELA LONDON ORLEANS,,,no,New Orleans District(MVN),MVN,1,Civil Works,cw,1,Inland Flood Risk Management,,29.091181,-90.090497,7,Operations and Maintenance,0,,,3/20/2023,10,1,1
2846,"Wrightsville Beach, NC Coastal Storm Risk Mitigation Feasibility Study",483210,,,Wilmington District(SAW),SAW,1,Civil Works,cw,4,Coastal Storm Risk Management,,34.209471,-77.796571,,,,,,11/4/2021 12:55 PM,30,1,4
